country_region,date,confirmed_cases
Argentina,2020-07-30,185373
Argentina,2020-07-31,191302
Argentina,2020-08-01,196543
Argentina,2020-08-02,201919
Argentina,2020-08-03,206743
Argentina,2020-08-04,213535
Argentina,2020-08-05,220682
Argentina,2020-08-06,228195
Argentina,2020-08-07,235677
Argentina,2020-08-08,241811
Argentina,2020-08-09,246499
Argentina,2020-08-10,253868
Argentina,2020-08-11,260911
Argentina,2020-08-12,268574
Argentina,2020-08-13,276072
Argentina,2020-08-14,282437
Argentina,2020-08-15,289100
Argentina,2020-08-16,294569
Argentina,2020-08-17,299126
Argentina,2020-08-18,305966
Argentina,2020-08-19,312659
Argentina,2020-08-20,320884
Argentina,2020-08-21,329043
Argentina,2020-08-22,336802
Argentina,2020-08-23,342154
Argentina,2020-08-24,350867
Argentina,2020-08-25,359638
Argentina,2020-08-26,370188
Argentina,2020-08-27,380292
Argentina,2020-08-28,392009
Argentina,2020-08-29,401239
Argentina,2020-08-30,408426
Argentina,2020-08-31,417735
Argentina,2020-09-01,428239
Argentina,2020-09-02,439172
Argentina,2020-09-03,451198
Argentina,2020-09-04,461882
Argentina,2020-09-05,471806
Argentina,2020-09-06,478792
Argentina,2020-09-07,488007
Argentina,2020-09-08,500034
Argentina,2020-09-09,512293
Argentina,2020-09-10,524198
Argentina,2020-09-11,535705
Argentina,2020-09-12,546481
Argentina,2020-09-13,555537
Argentina,2020-09-14,565446
Argentina,2020-09-15,577338
Argentina,2020-09-16,589012
Argentina,2020-09-17,601713
Argentina,2020-09-18,613658
Argentina,2020-09-19,622934
Argentina,2020-09-20,631365
Argentina,2020-09-21,640147
Argentina,2020-09-22,652174
Argentina,2020-09-23,664799
Argentina,2020-09-24,678266
Argentina,2020-09-25,691235
Italy,2020-01-22,0
Italy,2020-01-23,0
Italy,2020-01-24,0
Italy,2020-01-25,0
Italy,2020-01-26,0
Italy,2020-01-27,0
Italy,2020-01-28,0
Italy,2020-01-29,0
Italy,2020-01-30,0
Italy,2020-01-31,2
Italy,2020-02-01,2
Italy,2020-02-02,2
Italy,2020-02-03,2
Italy,2020-02-04,2
Italy,2020-02-05,2
Italy,2020-02-06,2
Italy,2020-02-07,3
Italy,2020-02-08,3
Italy,2020-02-09,3
Italy,2020-02-10,3
Italy,2020-02-11,3
Italy,2020-02-12,3
Italy,2020-02-13,3
Italy,2020-02-14,3
Italy,2020-02-15,3
Italy,2020-02-16,3
Italy,2020-02-17,3
Italy,2020-02-18,3
Italy,2020-02-19,3
Italy,2020-02-20,3
Italy,2020-02-21,20
Italy,2020-02-22,62
Italy,2020-02-23,155
Italy,2020-02-24,229
Italy,2020-02-25,322
Italy,2020-02-26,453
Italy,2020-02-27,655
Italy,2020-02-28,888
Italy,2020-02-29,1128
Italy,2020-03-01,1694
Italy,2020-03-02,2036
Italy,2020-03-03,2502
Italy,2020-03-04,3089
Italy,2020-03-05,3858
Italy,2020-03-06,4636
Italy,2020-03-07,5883
Italy,2020-03-08,7375
Italy,2020-03-09,9172
Italy,2020-03-10,10149
Italy,2020-03-11,12462
Italy,2020-03-12,15113
Italy,2020-03-13,17660
Italy,2020-03-14,21157
Italy,2020-03-15,24747
Italy,2020-03-16,27980
Italy,2020-03-17,31506
Italy,2020-03-18,35713
Italy,2020-03-19,41035
Italy,2020-03-20,47021
Italy,2020-03-21,53578
Italy,2020-03-22,59138
Italy,2020-03-23,63927
Italy,2020-03-24,69176
Italy,2020-03-25,74386
Italy,2020-03-26,80589
Italy,2020-03-27,86498
Italy,2020-03-28,92472
Italy,2020-03-29,97689
Italy,2020-03-30,101739
Italy,2020-03-31,105792
Italy,2020-04-01,110574
Italy,2020-04-02,115242
Italy,2020-04-03,119827
Italy,2020-04-04,124632
Italy,2020-04-05,128948
Italy,2020-04-06,132547
Italy,2020-04-07,135586
Italy,2020-04-08,139422
Italy,2020-04-09,143626
Italy,2020-04-10,147577
Italy,2020-04-11,152271
Italy,2020-04-12,156363
Italy,2020-04-13,159516
Italy,2020-04-14,162488
Italy,2020-04-15,165155
Italy,2020-04-16,168941
Italy,2020-04-17,172434
Italy,2020-04-18,175925
Italy,2020-04-19,178972
Italy,2020-04-20,181228
Italy,2020-04-21,183957
Italy,2020-04-22,187327
Italy,2020-04-23,189973
Italy,2020-04-24,192994
Italy,2020-04-25,195351
Italy,2020-04-26,197675
Italy,2020-04-27,199414
Italy,2020-04-28,201505
Italy,2020-04-29,203591
Italy,2020-04-30,205463
Italy,2020-05-01,207428
Italy,2020-05-02,209328
Italy,2020-05-03,210717
Italy,2020-05-04,211938
Italy,2020-05-05,213013
Italy,2020-05-06,214457
Italy,2020-05-07,215858
Italy,2020-05-08,217185
Italy,2020-05-09,218268
Italy,2020-05-10,219070
Italy,2020-05-11,219814
Italy,2020-05-12,221216
Italy,2020-05-13,222104
Italy,2020-05-14,223096
Italy,2020-05-15,223885
Italy,2020-05-16,224760
Italy,2020-05-17,225435
Italy,2020-05-18,225886
Italy,2020-05-19,226699
Italy,2020-05-20,227364
Italy,2020-05-21,228006
Italy,2020-05-22,228658
Italy,2020-05-23,229327
Italy,2020-05-24,229858
Italy,2020-05-25,230158
Italy,2020-05-26,230555
Italy,2020-05-27,231139
Italy,2020-05-28,231732
Italy,2020-05-29,232248
Italy,2020-05-30,232664
Italy,2020-05-31,232997
Italy,2020-06-01,233197
Italy,2020-06-02,233515
Italy,2020-06-03,233836
Italy,2020-06-04,234013
Italy,2020-06-05,234531
Italy,2020-06-06,234801
Italy,2020-06-07,234998
Italy,2020-06-08,235278
Italy,2020-06-09,235561
Italy,2020-06-10,235763
Italy,2020-06-11,236142
Italy,2020-06-12,236305
Italy,2020-06-13,236651
Italy,2020-06-14,236989
Italy,2020-06-15,237290
Italy,2020-06-16,237500
Italy,2020-06-17,237828
Italy,2020-06-18,238159
Italy,2020-06-19,238011
Italy,2020-06-20,238275
Italy,2020-06-21,238499
Italy,2020-06-22,238720
Italy,2020-06-23,238833
Italy,2020-06-24,239410
Italy,2020-06-25,239706
Italy,2020-06-26,239961
Italy,2020-06-27,240136
Italy,2020-06-28,240310
Italy,2020-06-29,240436
Italy,2020-06-30,240578
Italy,2020-07-01,240760
Italy,2020-07-02,240961
Italy,2020-07-03,241184
Italy,2020-07-04,241419
Italy,2020-07-05,241611
Italy,2020-07-06,241819
Italy,2020-07-07,241956
Italy,2020-07-08,242149
Italy,2020-07-09,242363
Italy,2020-07-10,242639
Italy,2020-07-11,242827
Italy,2020-07-12,243061
Italy,2020-07-13,243230
Italy,2020-07-14,243344
Italy,2020-07-15,243506
Italy,2020-07-16,243736
Italy,2020-07-17,243967
Italy,2020-07-18,244216
Italy,2020-07-19,244434
Italy,2020-07-20,244624
Italy,2020-07-21,244752
Italy,2020-07-22,245032
Italy,2020-07-23,245338
Italy,2020-07-24,245590
Italy,2020-07-25,245864
Italy,2020-07-26,246118
Italy,2020-07-27,246286
Italy,2020-07-28,246488
Italy,2020-07-29,246776
Italy,2020-07-30,247158
Italy,2020-07-31,247537
Italy,2020-08-01,247832
Italy,2020-08-02,248070
Italy,2020-08-03,248229
Italy,2020-08-04,248419
Italy,2020-08-05,248803
Italy,2020-08-06,249204
Italy,2020-08-07,249756
Italy,2020-08-08,250103
Italy,2020-08-09,250566
Italy,2020-08-10,250825
Italy,2020-08-11,251237
Italy,2020-08-12,251713
Italy,2020-08-13,252235
Italy,2020-08-14,252809
Italy,2020-08-15,253438
Italy,2020-08-16,253915
Italy,2020-08-17,254235
Italy,2020-08-18,254636
Italy,2020-08-19,255278
Italy,2020-08-20,256118
Italy,2020-08-21,257065
Italy,2020-08-22,258136
Italy,2020-08-23,259345
Italy,2020-08-24,260298
Italy,2020-08-25,261174
Italy,2020-08-26,262540
Italy,2020-08-27,263949
Italy,2020-08-28,265409
Italy,2020-08-29,266853
Italy,2020-08-30,268218
Italy,2020-08-31,269214
Italy,2020-09-01,270189
Italy,2020-09-02,271515
Italy,2020-09-03,272912
Italy,2020-09-04,274644
Italy,2020-09-05,276338
Italy,2020-09-06,277634
Italy,2020-09-07,278784
Italy,2020-09-08,280153
Italy,2020-09-09,281583
Italy,2020-09-10,283180
Italy,2020-09-11,284796
Italy,2020-09-12,286297
Italy,2020-09-13,287753
Italy,2020-09-14,288761
Italy,2020-09-15,289990
Italy,2020-09-16,291442
Italy,2020-09-17,293025
Italy,2020-09-18,294932
Italy,2020-09-19,296569
Italy,2020-09-20,298156
Italy,2020-09-21,299506
Italy,2020-09-22,300897
Italy,2020-09-23,302537
Italy,2020-09-24,304323
Italy,2020-09-25,306235
Japan,2020-01-22,2
Japan,2020-01-23,2
Japan,2020-01-24,2
Japan,2020-01-25,2
Japan,2020-01-26,4
Japan,2020-01-27,4
Japan,2020-01-28,7
Japan,2020-01-29,7
Japan,2020-01-30,11
Japan,2020-01-31,15
Japan,2020-02-01,20
Japan,2020-02-02,20
Japan,2020-02-03,20
Japan,2020-02-04,22
Japan,2020-02-05,23
Japan,2020-02-06,23
Japan,2020-02-07,23
Japan,2020-02-08,24
Japan,2020-02-09,24
Japan,2020-02-10,26
Japan,2020-02-11,27
Japan,2020-02-12,28
Japan,2020-02-13,33
Japan,2020-02-14,43
Japan,2020-02-15,54
Japan,2020-02-16,60
Japan,2020-02-17,67
Japan,2020-02-18,79
Japan,2020-02-19,85
Japan,2020-02-20,95
Japan,2020-02-21,112
Japan,2020-02-22,137
Japan,2020-02-23,149
Japan,2020-02-24,160
Japan,2020-02-25,173
Japan,2020-02-26,192
Japan,2020-02-27,218
Japan,2020-02-28,236
Japan,2020-02-29,245
Japan,2020-03-01,259
Japan,2020-03-02,278
Japan,2020-03-03,298
Japan,2020-03-04,333
Japan,2020-03-05,365
Japan,2020-03-06,420
Japan,2020-03-07,466
Japan,2020-03-08,499
Japan,2020-03-09,527
Japan,2020-03-10,585
Japan,2020-03-11,640
Japan,2020-03-12,696
Japan,2020-03-13,733
Japan,2020-03-14,795
Japan,2020-03-15,826
Japan,2020-03-16,843
Japan,2020-03-17,893
Japan,2020-03-18,928
Japan,2020-03-19,968
Japan,2020-03-20,1022
Japan,2020-03-21,1059
Japan,2020-03-22,1104
Japan,2020-03-23,1144
Japan,2020-03-24,1217
Japan,2020-03-25,1314
Japan,2020-03-26,1416
Japan,2020-03-27,1530
Japan,2020-03-28,1728
Japan,2020-03-29,1907
Japan,2020-03-30,2001
Japan,2020-03-31,2255
Japan,2020-04-01,2535
Japan,2020-04-02,2818
Japan,2020-04-03,3154
Japan,2020-04-04,3525
Japan,2020-04-05,3876
Japan,2020-04-06,4110
Japan,2020-04-07,4485
Japan,2020-04-08,5020
Japan,2020-04-09,5614
Japan,2020-04-10,6250
Japan,2020-04-11,6951
Japan,2020-04-12,7473
Japan,2020-04-13,7773
Japan,2020-04-14,8277
Japan,2020-04-15,8835
Japan,2020-04-16,9398
Japan,2020-04-17,9958
Japan,2020-04-18,10548
Japan,2020-04-19,10914
Japan,2020-04-20,11258
Japan,2020-04-21,11641
Japan,2020-04-22,12037
Japan,2020-04-23,12469
Japan,2020-04-24,12854
Japan,2020-04-25,13186
Japan,2020-04-26,13405
Japan,2020-04-27,13576
Japan,2020-04-28,13860
Japan,2020-04-29,14076
Japan,2020-04-30,14284
Japan,2020-05-01,14558
Japan,2020-05-02,14861
Japan,2020-05-03,15061
Japan,2020-05-04,15229
Japan,2020-05-05,15354
Japan,2020-05-06,15455
Japan,2020-05-07,15553
Japan,2020-05-08,15640
Japan,2020-05-09,15755
Japan,2020-05-10,15824
Japan,2020-05-11,15861
Japan,2020-05-12,15948
Japan,2020-05-13,15998
Japan,2020-05-14,16096
Japan,2020-05-15,16148
Japan,2020-05-16,16202
Japan,2020-05-17,16226
Japan,2020-05-18,16259
Japan,2020-05-19,16287
Japan,2020-05-20,16321
Japan,2020-05-21,16362
Japan,2020-05-22,16385
Japan,2020-05-23,16410
Japan,2020-05-24,16451
Japan,2020-05-25,16472
Japan,2020-05-26,16502
Japan,2020-05-27,16528
Japan,2020-05-28,16598
Japan,2020-05-29,16673
Japan,2020-05-30,16716
Japan,2020-05-31,16751
Japan,2020-06-01,16787
Japan,2020-06-02,16837
Japan,2020-06-03,16867
Japan,2020-06-04,16911
Japan,2020-06-05,16958
Japan,2020-06-06,17000
Japan,2020-06-07,17039
Japan,2020-06-08,17060
Japan,2020-06-09,17111
Japan,2020-06-10,17146
Japan,2020-06-11,17187
Japan,2020-06-12,17250
Japan,2020-06-13,17293
Japan,2020-06-14,17369
Japan,2020-06-15,17439
Japan,2020-06-16,17484
Japan,2020-06-17,17530
Japan,2020-06-18,17588
Japan,2020-06-19,17658
Japan,2020-06-20,17725
Japan,2020-06-21,17780
Japan,2020-06-22,17820
Japan,2020-06-23,17879
Japan,2020-06-24,17963
Japan,2020-06-25,18055
Japan,2020-06-26,18162
Japan,2020-06-27,18254
Japan,2020-06-28,18366
Japan,2020-06-29,18476
Japan,2020-06-30,18615
Japan,2020-07-01,18838
Japan,2020-07-02,19055
Japan,2020-07-03,19185
Japan,2020-07-04,19461
Japan,2020-07-05,19668
Japan,2020-07-06,19848
Japan,2020-07-07,20055
Japan,2020-07-08,20261
Japan,2020-07-09,20617
Japan,2020-07-10,21044
Japan,2020-07-11,21430
Japan,2020-07-12,21841
Japan,2020-07-13,22125
Japan,2020-07-14,22437
Japan,2020-07-15,23172
Japan,2020-07-16,23510
Japan,2020-07-17,24104
Japan,2020-07-18,24946
Japan,2020-07-19,25446
Japan,2020-07-20,25706
Japan,2020-07-21,26463
Japan,2020-07-22,27136
Japan,2020-07-23,28114
Japan,2020-07-24,28883
Japan,2020-07-25,29684
Japan,2020-07-26,30548
Japan,2020-07-27,31142
Japan,2020-07-28,32116
Japan,2020-07-29,33382
Japan,2020-07-30,35144
Japan,2020-07-31,36234
Japan,2020-08-01,37804
Japan,2020-08-02,39116
Japan,2020-08-03,40099
Japan,2020-08-04,41347
Japan,2020-08-05,42686
Japan,2020-08-06,44167
Japan,2020-08-07,45764
Japan,2020-08-08,47342
Japan,2020-08-09,48782
Japan,2020-08-10,49617
Japan,2020-08-11,50302
Japan,2020-08-12,51288
Japan,2020-08-13,52471
Japan,2020-08-14,53818
Japan,2020-08-15,55051
Japan,2020-08-16,56074
Japan,2020-08-17,56717
Japan,2020-08-18,57636
Japan,2020-08-19,58728
Japan,2020-08-20,59900
Japan,2020-08-21,60949
Japan,2020-08-22,61916
Japan,2020-08-23,62658
Japan,2020-08-24,63158
Japan,2020-08-25,63888
Japan,2020-08-26,64779
Japan,2020-08-27,65653
Japan,2020-08-28,66499
Japan,2020-08-29,67353
Japan,2020-08-30,67958
Japan,2020-08-31,68396
Japan,2020-09-01,69023
Japan,2020-09-02,69619
Japan,2020-09-03,70278
Japan,2020-09-04,70866
Japan,2020-09-05,71467
Japan,2020-09-06,71918
Japan,2020-09-07,72213
Japan,2020-09-08,72724
Japan,2020-09-09,73264
Japan,2020-09-10,73916
Japan,2020-09-11,74558
Japan,2020-09-12,75206
Japan,2020-09-13,75646
Japan,2020-09-14,75914
Japan,2020-09-15,76446
Japan,2020-09-16,76997
Japan,2020-09-17,77488
Japan,2020-09-18,78061
Japan,2020-09-19,78662
Japan,2020-09-20,79142
Japan,2020-09-21,79462
Japan,2020-09-22,79773
Japan,2020-09-23,80009
Japan,2020-09-24,80490
Japan,2020-09-25,81054
Spain,2020-01-22,0
Spain,2020-01-23,0
Spain,2020-01-24,0
Spain,2020-01-25,0
Spain,2020-01-26,0
Spain,2020-01-27,0
Spain,2020-01-28,0
Spain,2020-01-29,0
Spain,2020-01-30,0
Spain,2020-01-31,0
Spain,2020-02-01,1
Spain,2020-02-02,1
Spain,2020-02-03,1
Spain,2020-02-04,1
Spain,2020-02-05,1
Spain,2020-02-06,1
Spain,2020-02-07,1
Spain,2020-02-08,1
Spain,2020-02-09,2
Spain,2020-02-10,2
Spain,2020-02-11,2
Spain,2020-02-12,2
Spain,2020-02-13,2
Spain,2020-02-14,2
Spain,2020-02-15,2
Spain,2020-02-16,2
Spain,2020-02-17,2
Spain,2020-02-18,2
Spain,2020-02-19,2
Spain,2020-02-20,2
Spain,2020-02-21,2
Spain,2020-02-22,2
Spain,2020-02-23,2
Spain,2020-02-24,2
Spain,2020-02-25,6
Spain,2020-02-26,13
Spain,2020-02-27,15
Spain,2020-02-28,32
Spain,2020-02-29,45
Spain,2020-03-01,84
Spain,2020-03-02,120
Spain,2020-03-03,165
Spain,2020-03-04,222
Spain,2020-03-05,259
Spain,2020-03-06,400
Spain,2020-03-07,500
Spain,2020-03-08,673
Spain,2020-03-09,1073
Spain,2020-03-10,1695
Spain,2020-03-11,2277
Spain,2020-03-12,2277
Spain,2020-03-13,5232
Spain,2020-03-14,6391
Spain,2020-03-15,7798
Spain,2020-03-16,9942
Spain,2020-03-17,11748
Spain,2020-03-18,13910
Spain,2020-03-19,17963
Spain,2020-03-20,20410
Spain,2020-03-21,25374
Spain,2020-03-22,28768
Spain,2020-03-23,35136
Spain,2020-03-24,39885
Spain,2020-03-25,49515
Spain,2020-03-26,57786
Spain,2020-03-27,65719
Spain,2020-03-28,73235
Spain,2020-03-29,80110
Spain,2020-03-30,87956
Spain,2020-03-31,95923
Spain,2020-04-01,104118
Spain,2020-04-02,112065
Spain,2020-04-03,119199
Spain,2020-04-04,126168
Spain,2020-04-05,131646
Spain,2020-04-06,136675
Spain,2020-04-07,141942
Spain,2020-04-08,148220
Spain,2020-04-09,153222
Spain,2020-04-10,158273
Spain,2020-04-11,163027
Spain,2020-04-12,166831
Spain,2020-04-13,170099
Spain,2020-04-14,172541
Spain,2020-04-15,177644
Spain,2020-04-16,184948
Spain,2020-04-17,190839
Spain,2020-04-18,191726
Spain,2020-04-19,198674
Spain,2020-04-20,200210
Spain,2020-04-21,204178
Spain,2020-04-22,208389
Spain,2020-04-23,213024
Spain,2020-04-24,202990
Spain,2020-04-25,205905
Spain,2020-04-26,207634
Spain,2020-04-27,209465
Spain,2020-04-28,210773
Spain,2020-04-29,212917
Spain,2020-04-30,213435
Spain,2020-05-01,215216
Spain,2020-05-02,216582
Spain,2020-05-03,217466
Spain,2020-05-04,218011
Spain,2020-05-05,219329
Spain,2020-05-06,220325
Spain,2020-05-07,221447
Spain,2020-05-08,222857
Spain,2020-05-09,223578
Spain,2020-05-10,224350
Spain,2020-05-11,227436
Spain,2020-05-12,228030
Spain,2020-05-13,228691
Spain,2020-05-14,229540
Spain,2020-05-15,230183
Spain,2020-05-16,230698
Spain,2020-05-17,230698
Spain,2020-05-18,231606
Spain,2020-05-19,232037
Spain,2020-05-20,232555
Spain,2020-05-21,233037
Spain,2020-05-22,234824
Spain,2020-05-23,235290
Spain,2020-05-24,235772
Spain,2020-05-25,235400
Spain,2020-05-26,236259
Spain,2020-05-27,236259
Spain,2020-05-28,237906
Spain,2020-05-29,238564
Spain,2020-05-30,239228
Spain,2020-05-31,239479
Spain,2020-06-01,239638
Spain,2020-06-02,239932
Spain,2020-06-03,240326
Spain,2020-06-04,240660
Spain,2020-06-05,240978
Spain,2020-06-06,241310
Spain,2020-06-07,241550
Spain,2020-06-08,241717
Spain,2020-06-09,241966
Spain,2020-06-10,242280
Spain,2020-06-11,242707
Spain,2020-06-12,243209
Spain,2020-06-13,243605
Spain,2020-06-14,243928
Spain,2020-06-15,244109
Spain,2020-06-16,244328
Spain,2020-06-17,244683
Spain,2020-06-18,245268
Spain,2020-06-19,245575
Spain,2020-06-20,245938
Spain,2020-06-21,246272
Spain,2020-06-22,246504
Spain,2020-06-23,246752
Spain,2020-06-24,247086
Spain,2020-06-25,247486
Spain,2020-06-26,247905
Spain,2020-06-27,248469
Spain,2020-06-28,248770
Spain,2020-06-29,248970
Spain,2020-06-30,249271
Spain,2020-07-01,249659
Spain,2020-07-02,250103
Spain,2020-07-03,250545
Spain,2020-07-04,250545
Spain,2020-07-05,250545
Spain,2020-07-06,251789
Spain,2020-07-07,252130
Spain,2020-07-08,252513
Spain,2020-07-09,253056
Spain,2020-07-10,253908
Spain,2020-07-11,253908
Spain,2020-07-12,253908
Spain,2020-07-13,255953
Spain,2020-07-14,256619
Spain,2020-07-15,257494
Spain,2020-07-16,258855
Spain,2020-07-17,260255
Spain,2020-07-18,260255
Spain,2020-07-19,260255
Spain,2020-07-20,264836
Spain,2020-07-21,266194
Spain,2020-07-22,267551
Spain,2020-07-23,270166
Spain,2020-07-24,272421
Spain,2020-07-25,272421
Spain,2020-07-26,272421
Spain,2020-07-27,278782
Spain,2020-07-28,280610
Spain,2020-07-29,282641
Spain,2020-07-30,285430
Spain,2020-07-31,288522
Spain,2020-08-01,288522
Spain,2020-08-02,288522
Spain,2020-08-03,297054
Spain,2020-08-04,302814
Spain,2020-08-05,305767
Spain,2020-08-06,309855
Spain,2020-08-07,314362
Spain,2020-08-08,314362
Spain,2020-08-09,314362
Spain,2020-08-10,322980
Spain,2020-08-11,326612
Spain,2020-08-12,329784
Spain,2020-08-13,337334
Spain,2020-08-14,342813
Spain,2020-08-15,342813
Spain,2020-08-16,342813
Spain,2020-08-17,359082
Spain,2020-08-18,364196
Spain,2020-08-19,370867
Spain,2020-08-20,377906
Spain,2020-08-21,386054
Spain,2020-08-22,386054
Spain,2020-08-23,386054
Spain,2020-08-24,405436
Spain,2020-08-25,412553
Spain,2020-08-26,419849
Spain,2020-08-27,429507
Spain,2020-08-28,439286
Spain,2020-08-29,439286
Spain,2020-08-30,439286
Spain,2020-08-31,462858
Spain,2020-09-01,470973
Spain,2020-09-02,479554
Spain,2020-09-03,488513
Spain,2020-09-04,498989
Spain,2020-09-05,498989
Spain,2020-09-06,498989
Spain,2020-09-07,525549
Spain,2020-09-08,534513
Spain,2020-09-09,543379
Spain,2020-09-10,554143
Spain,2020-09-11,566326
Spain,2020-09-12,566326
Spain,2020-09-13,566326
Spain,2020-09-14,593730
Spain,2020-09-15,603167
Spain,2020-09-16,614360
Spain,2020-09-17,625651
Spain,2020-09-18,640040
Spain,2020-09-19,640040
Spain,2020-09-20,640040
Spain,2020-09-21,671468
Spain,2020-09-22,682267
Spain,2020-09-23,693556
Spain,2020-09-24,704209
Spain,2020-09-25,716481
Ukraine,2020-01-22,0
Ukraine,2020-01-23,0
Ukraine,2020-01-24,0
